state;year;cipstest;cipstest_1;cipstest_2;cipstest_3
ALABAMA;1970;28418;15032.67;7325.8;1655.68
ALABAMA;1971;29375;15501.94;7525.94;1721.02
ALABAMA;1972;31303;15972.41;7765.42;1764.75
ALABAMA;1973;33430;16406.26;7907.66;1742.41
ALABAMA;1974;33749;16762.67;8025.52;1734.85
ALABAMA;1975;33604;17316.26;8158.23;1752.27
ALABAMA;1976;35764;17732.86;8228.19;1799.74
ALABAMA;1977;37463;18111.93;8365.67;1845.11
ALABAMA;1978;39964;18479.74;8510.64;1960.51
ALABAMA;1979;40979;18881.49;8640.61;2081.91
ALABAMA;1980;40380;19012.34;8663.5;2138.52
ALABAMA;1981;41105;19118.52;8628.83;2218.91
ALABAMA;1982;40328;19118.25;8645.14;2215.84
ALABAMA;1983;42245;19122;8612.47;2230.91
ALABAMA;1984;45118;19257.47;8655.94;2235.16
ALABAMA;1985;46849;19433.36;8726.24;2253.03
ALABAMA;1986;48409;19723.37;8813.24;2308.99
ARIZONA;1970;19288;10148.42;4556.81;1627.87
ARIZONA;1971;21040;10560.54;4701.97;1627.34
ARIZONA;1972;23289;10977.53;4847.84;1614.58
ARIZONA;1973;25244;11598.26;4963.46;1647.88
ARIZONA;1974;25698;12129.06;5071.38;1678
ARIZONA;1975;24915;12929.06;5163.41;1764.87
ARIZONA;1976;26041;13603.89;5249.82;1910.43
ARIZONA;1977;28110;14175.42;5358.45;1973.48
ARIZONA;1978;31062;14812.04;5470;2038.3
ARIZONA;1979;33943;15547.62;5603.12;2132.49
ARIZONA;1980;34708;16344.9;5720.38;2165.64
ARIZONA;1981;35244;17088.3;5816.05;2265.42
ARIZONA;1982;33603;17650.57;5918.5;2377.2
ARIZONA;1983;35963;18108.24;6019.87;2513.38
ARIZONA;1984;40010;18792.09;6101.45;2574.78
ARIZONA;1985;43350;19414.85;6282.51;2737.37
ARIZONA;1986;46058;20212.42;6553.4;2923.15
ARKANSAS;1970;15392;7613.26;3647.73;644.99
ARKANSAS;1971;16177;7982.03;3686.95;651.63
ARKANSAS;1972;17702;8309.01;3780.05;668.5
ARKANSAS;1973;18825;8399.59;3894.77;691.76
ARKANSAS;1974;19287;8512.05;3985.99;726.62
ARKANSAS;1975;19024;8651.26;4051.66;742.5
ARKANSAS;1976;20277;8921.91;4185.4;761.38
ARKANSAS;1977;21410;9234.85;4316.52;793.54
ARKANSAS;1978;23063;9374.54;4405.68;821.01
ARKANSAS;1979;23501;9554.83;4483.21;859.23
ARKANSAS;1980;23210;9705.24;4531.36;890.41
ARKANSAS;1981;24134;9872.87;4608.72;916.68
ARKANSAS;1982;23462;9919.35;4681.5;905.92
ARKANSAS;1983;24415;9861.76;4662.68;934.14
ARKANSAS;1984;26512;9754.55;4654.37;934.6
ARKANSAS;1985;27159;9675.47;4639.3;947.04
ARKANSAS;1986;28168;9787.2;4652.71;960.66
CALIFORNIA;1970;263933;128545.36;42961.31;17837.26
CALIFORNIA;1971;265600;132263.33;44768.37;18448.04
CALIFORNIA;1972;281159;134451.52;46045.52;18813.82
CALIFORNIA;1973;293735;135988.4;47064.46;19084.52
CALIFORNIA;1974;298408;136827.29;47572.52;19092.78
CALIFORNIA;1975;304518;138487.39;47699.42;19654.53
CALIFORNIA;1976;320160;139514.18;47568.65;20346.64
CALIFORNIA;1977;338040;139910.22;47137.99;21014.45
CALIFORNIA;1978;359603;139408.84;46472.4;21556.85
CALIFORNIA;1979;374928;140217.32;46132.47;22297.31
CALIFORNIA;1980;380221;139776.97;45597.88;22925.93
CALIFORNIA;1981;378436;139662.44;45042.91;23291.36
CALIFORNIA;1982;372541;139232.39;44490.48;23502.43
CALIFORNIA;1983;390528;138535.66;44027.17;23828.67
CALIFORNIA;1984;420525;138101.55;43826.52;23841.32
CALIFORNIA;1985;444082;138170.93;43566.26;24121.33
CALIFORNIA;1986;464550;139042.68;43350.54;24592.33
COLORADO;1970;25689;11402.52;4403.21;2165.03
COLORADO;1971;27341;11682.06;4535.52;2166.21
COLORADO;1972;29624;12010.91;4757.59;2133.49
COLORADO;1973;32417;12473.28;4982.21;2206.43
COLORADO;1974;33039;12964.14;5143.73;2312.49
COLORADO;1975;33593;13483.92;5223.11;2464.28
COLORADO;1976;35223;14090.24;5318.1;2617.61
COLORADO;1977;37429;14736.89;5463.79;2747.31
COLORADO;1978;40522;15240.49;5598.49;2887.92
COLORADO;1979;42917;15711.11;5705.99;3078.37
COLORADO;1980;43888;16272.57;5766.89;3274.49
COLORADO;1981;44695;16692.71;5820.52;3564.34
COLORADO;1982;45252;17027.51;5846.02;3719.04
COLORADO;1983;46523;17388.99;5877.85;3898.86
COLORADO;1984;49332;17785.25;5942.8;4000.29
COLORADO;1985;50820;18327.11;6057.5;4153.07
COLORADO;1986;51781;18889.54;6148.8;4340.24
CONNECTICUT;1970;38880;15865.66;7237.14;2208.1
CONNECTICUT;1971;38515;16559.99;7312.24;2406.84
CONNECTICUT;1972;40037;17346.79;7407.46;2642.54
CONNECTICUT;1973;42157;17803.12;7492.12;2741.16
CONNECTICUT;1974;41827;18225.2;7550.75;2881
CONNECTICUT;1975;39870;18686.78;7585.56;3027.33
CONNECTICUT;1976;41326;18871.06;7587.34;3104.13
CONNECTICUT;1977;42976;18798.54;7501.72;3166.91
CONNECTICUT;1978;44844;18566.24;7352.08;3194.03
CONNECTICUT;1979;46008;18487.06;7274.07;3294.94
CONNECTICUT;1980;45949;18385.98;7192;3387.26
CONNECTICUT;1981;47397;18271.34;7103.85;3396.82
CONNECTICUT;1982;47241;18030.08;7017.05;3371.93
CONNECTICUT;1983;50594;17739.88;6959.31;3332.92
CONNECTICUT;1984;55117;17494.36;6890.73;3300.44
CONNECTICUT;1985;58263;17317.13;6861.64;3313.05
CONNECTICUT;1986;61750;17290.61;6878.14;3314.55
DELAWARE;1970;6863;4250.95;2078.95;234.23
DELAWARE;1971;7399;4405.91;2076.73;230.51
DELAWARE;1972;7829;4560.71;2105.3;233.59
DELAWARE;1973;8604;4725.12;2125.88;283.84
DELAWARE;1974;7777;4927.52;2195.49;324.32
DELAWARE;1975;7625;4988.37;2197.46;349.68
DELAWARE;1976;8061;4959.87;2161.42;358.6
DELAWARE;1977;8313;4958.47;2158.95;400.11
DELAWARE;1978;8390;4954.21;2134.89;440.95
DELAWARE;1979;8360;4936.91;2103.91;482.11
DELAWARE;1980;8200;4868.74;2071.23;488.36
DELAWARE;1981;8344;4825.97;2050.14;491.43
DELAWARE;1982;8435;4786.37;2038.78;487.77
DELAWARE;1983;8883;4768.17;2029.77;482.47
DELAWARE;1984;9347;4743.86;2037.26;483.3
DELAWARE;1985;9699;4731.49;2043.62;490.68
DELAWARE;1986;10072;4716.73;2052.16;492.03
FLORIDA;1970;69641;29696.86;12622.3;4174.89
